Anti-Spoofing Log v4.0
Started: 2026-03-15 09:39:20.258542
==================================================

[20260315_094012] FAKE cam0 | conf=59%
[20260315_094055] FAKE cam0 | conf=91%
[20260315_094100] FAKE cam0 | conf=67%
[20260315_094112] FAKE cam0 | conf=73%
[20260315_094118] FAKE cam0 | conf=89%
[20260315_094129] FAKE cam0 | conf=84%
[20260315_094134] FAKE cam0 | conf=89%
[20260315_094436] FAKE cam0 | conf=93%
[20260315_094440] FAKE cam0 | conf=90%
[20260315_094504] FAKE cam0 | conf=77%
[20260315_094552] FAKE cam0 | conf=70%
[20260315_094556] FAKE cam0 | conf=87%
[20260315_094600] FAKE cam0 | conf=92%
