Anti-Spoofing Log v4.0
Started: 2026-03-15 10:17:14.594365
==================================================

[20260315_101732] FAKE cam0 | conf=92%
[20260315_101737] FAKE cam0 | conf=86%
[20260315_101746] FAKE cam0 | conf=93%
[20260315_101823] FAKE cam0 | conf=64%
[20260315_101826] FAKE cam0 | conf=62%
[20260315_101836] FAKE cam0 | conf=59%
[20260315_101842] FAKE cam0 | conf=72%
[20260315_101851] FAKE cam0 | conf=88%
[20260315_101857] FAKE cam0 | conf=89%
[20260315_101902] FAKE cam0 | conf=87%
[20260315_101935] FAKE cam0 | conf=90%
[20260315_101954] FAKE cam0 | conf=89%
[20260315_102001] FAKE cam0 | conf=66%
[20260315_102005] FAKE cam0 | conf=76%
[20260315_102009] FAKE cam0 | conf=82%
