Anti-Spoofing Log v4.0
Started: 2026-03-15 11:52:41.583095
==================================================

[20260315_115331] FAKE cam0 | conf=90%
[20260315_115335] FAKE cam0 | conf=91%
[20260315_115340] FAKE cam0 | conf=77%
[20260315_115407] FAKE cam0 | conf=76%
[20260315_115411] FAKE cam0 | conf=77%
[20260315_115507] FAKE cam0 | conf=85%
[20260315_115513] FAKE cam0 | conf=65%
[20260315_115517] FAKE cam0 | conf=74%
[20260315_115523] FAKE cam0 | conf=88%
[20260315_115527] FAKE cam0 | conf=85%
