Anti-Spoofing Log v4.0
Started: 2026-03-15 10:35:15.060457
==================================================

[20260315_103538] FAKE cam0 | conf=74%
[20260315_103550] FAKE cam0 | conf=58%
[20260315_103553] FAKE cam0 | conf=87%
[20260315_103601] FAKE cam0 | conf=56%
[20260315_103607] FAKE cam0 | conf=77%
[20260315_103615] FAKE cam0 | conf=78%
[20260315_103619] FAKE cam0 | conf=67%
[20260315_103700] FAKE cam0 | conf=64%
[20260315_103823] FAKE cam0 | conf=75%
[20260315_103827] FAKE cam0 | conf=61%
[20260315_103832] FAKE cam0 | conf=65%
[20260315_103852] FAKE cam0 | conf=79%
[20260315_103855] FAKE cam0 | conf=89%
[20260315_103859] FAKE cam0 | conf=86%
[20260315_103915] FAKE cam0 | conf=89%
[20260315_103947] FAKE cam0 | conf=80%
[20260315_103950] FAKE cam0 | conf=75%
[20260315_103954] FAKE cam0 | conf=87%
