Anti-Spoofing Log v4.0
Started: 2026-03-15 10:56:32.396902
==================================================

[20260315_105708] FAKE cam0 | conf=92%
[20260315_105752] FAKE cam0 | conf=74%
[20260315_105755] FAKE cam0 | conf=83%
[20260315_105759] FAKE cam0 | conf=95%
[20260315_105827] FAKE cam0 | conf=80%
[20260315_105832] FAKE cam0 | conf=83%
[20260315_105839] FAKE cam0 | conf=79%
[20260315_105843] FAKE cam0 | conf=91%
[20260315_105846] FAKE cam0 | conf=89%
[20260315_105915] FAKE cam0 | conf=89%
[20260315_105923] FAKE cam0 | conf=100%
[20260315_105927] FAKE cam0 | conf=62%
[20260315_105952] FAKE cam0 | conf=84%
[20260315_105955] FAKE cam0 | conf=92%
[20260315_105959] FAKE cam0 | conf=92%
[20260315_110035] FAKE cam0 | conf=74%
[20260315_110039] FAKE cam0 | conf=67%
[20260315_110218] FAKE cam0 | conf=66%
[20260315_110222] FAKE cam0 | conf=74%
[20260315_110306] FAKE cam0 | conf=94%
[20260315_110310] FAKE cam0 | conf=72%
[20260315_110313] FAKE cam0 | conf=67%
[20260315_110316] FAKE cam0 | conf=88%
[20260315_110320] FAKE cam0 | conf=55%
[20260315_110325] FAKE cam0 | conf=90%
[20260315_110329] FAKE cam0 | conf=93%
[20260315_110332] FAKE cam0 | conf=91%
[20260315_110336] FAKE cam0 | conf=90%
[20260315_110355] FAKE cam0 | conf=91%
[20260315_110358] FAKE cam0 | conf=83%
[20260315_110403] FAKE cam0 | conf=89%
[20260315_110406] FAKE cam0 | conf=89%
[20260315_110410] FAKE cam0 | conf=89%
[20260315_110413] FAKE cam0 | conf=91%
[20260315_110448] FAKE cam0 | conf=91%
[20260315_110451] FAKE cam0 | conf=78%
[20260315_110457] FAKE cam0 | conf=78%
[20260315_110509] FAKE cam0 | conf=66%
[20260315_110513] FAKE cam0 | conf=64%
[20260315_110522] FAKE cam0 | conf=90%
[20260315_110525] FAKE cam0 | conf=63%
[20260315_110553] FAKE cam0 | conf=83%
[20260315_110557] FAKE cam0 | conf=60%
[20260315_110602] FAKE cam0 | conf=91%
[20260315_110606] FAKE cam0 | conf=75%
[20260315_110809] FAKE cam0 | conf=89%
[20260315_110812] FAKE cam0 | conf=88%
[20260315_112521] FAKE cam0 | conf=81%
[20260315_112724] FAKE cam0 | conf=75%
[20260315_113228] FAKE cam0 | conf=88%
[20260315_113257] FAKE cam0 | conf=71%
[20260315_113300] FAKE cam0 | conf=83%
[20260315_113303] FAKE cam0 | conf=84%
[20260315_113307] FAKE cam0 | conf=80%
