Anti-Spoofing Log v4.0
Started: 2026-03-15 10:07:38.712664
==================================================

[20260315_100817] FAKE cam0 | conf=81%
[20260315_100820] FAKE cam0 | conf=86%
[20260315_100825] FAKE cam0 | conf=81%
[20260315_100840] FAKE cam0 | conf=75%
[20260315_101031] FAKE cam0 | conf=64%
[20260315_101144] FAKE cam0 | conf=85%
[20260315_101147] FAKE cam0 | conf=88%
[20260315_101151] FAKE cam0 | conf=88%
[20260315_101203] FAKE cam0 | conf=81%
[20260315_101206] FAKE cam0 | conf=64%
[20260315_101210] FAKE cam0 | conf=89%
