Anti-Spoofing Log v3.0
Started: 2026-03-09 10:22:45.036928
Model: best.pt + 4-Layer
==================================================

[20260309_102248] FAKE cam0 | conf=67%
[20260309_102411] FAKE cam0 | conf=92%
[20260309_102414] FAKE cam0 | conf=87%
[20260309_102418] FAKE cam0 | conf=69%
[20260309_102421] FAKE cam0 | conf=68%
[20260309_102424] FAKE cam0 | conf=91%
[20260309_102429] FAKE cam0 | conf=69%
[20260309_102435] FAKE cam0 | conf=70%
[20260309_102440] FAKE cam0 | conf=69%
[20260309_102444] FAKE cam0 | conf=88%
[20260309_102447] FAKE cam0 | conf=92%
[20260309_102451] FAKE cam0 | conf=71%
[20260309_102458] FAKE cam0 | conf=72%
[20260309_102501] FAKE cam0 | conf=76%
[20260309_102504] FAKE cam0 | conf=77%
[20260309_102508] FAKE cam0 | conf=74%
[20260309_102522] FAKE cam0 | conf=94%
[20260309_102525] FAKE cam0 | conf=79%
[20260309_102530] FAKE cam0 | conf=83%
[20260309_102533] FAKE cam0 | conf=77%
[20260309_102537] FAKE cam0 | conf=68%
[20260309_102547] FAKE cam0 | conf=73%
[20260309_102550] FAKE cam0 | conf=83%
[20260309_102554] FAKE cam0 | conf=71%
[20260309_102557] FAKE cam0 | conf=71%
[20260309_102604] FAKE cam0 | conf=88%
[20260309_102607] FAKE cam0 | conf=72%
[20260309_102612] FAKE cam0 | conf=92%
[20260309_102615] FAKE cam0 | conf=69%
[20260309_102619] FAKE cam0 | conf=70%
[20260309_102623] FAKE cam0 | conf=91%
[20260309_102627] FAKE cam0 | conf=91%
[20260309_102631] FAKE cam0 | conf=91%
[20260309_102635] FAKE cam0 | conf=71%
[20260309_102639] FAKE cam0 | conf=91%
[20260309_102644] FAKE cam0 | conf=70%
[20260309_102647] FAKE cam0 | conf=70%
[20260309_102828] FAKE cam0 | conf=72%
[20260309_102832] FAKE cam0 | conf=71%
[20260309_102836] FAKE cam0 | conf=79%
[20260309_102841] FAKE cam0 | conf=79%
[20260309_102844] FAKE cam0 | conf=72%
[20260309_102848] FAKE cam0 | conf=89%
[20260309_102851] FAKE cam0 | conf=92%
[20260309_102855] FAKE cam0 | conf=91%
[20260309_102859] FAKE cam0 | conf=75%
[20260309_102902] FAKE cam0 | conf=84%
[20260309_102906] FAKE cam0 | conf=76%
[20260309_102910] FAKE cam0 | conf=72%
[20260309_102913] FAKE cam0 | conf=73%
[20260309_102917] FAKE cam0 | conf=85%
[20260309_102921] FAKE cam0 | conf=74%
[20260309_102924] FAKE cam0 | conf=76%
[20260309_102927] FAKE cam0 | conf=71%
[20260309_103441] FAKE cam0 | conf=74%
[20260309_103446] FAKE cam0 | conf=69%
