Anti-Spoofing Log v3.0
Started: 2026-03-13 10:33:29.719370
Model: best.pt + 4-Layer
==================================================

[20260313_103454] FAKE cam0 | conf=81%
[20260313_103458] FAKE cam0 | conf=83%
[20260313_103502] FAKE cam0 | conf=79%
[20260313_103710] FAKE cam0 | conf=74%
[20260313_103714] FAKE cam0 | conf=92%
[20260313_103718] FAKE cam0 | conf=75%
[20260313_103722] FAKE cam0 | conf=100%
[20260313_103726] FAKE cam0 | conf=100%
[20260313_103729] FAKE cam0 | conf=94%
[20260313_103743] FAKE cam0 | conf=90%
[20260313_103747] FAKE cam0 | conf=84%
[20260313_103752] FAKE cam0 | conf=100%
